"","FT282_OR10A4_1_A","FT282_OR10A4_1_B","FT282_OR10A4_2_A","FT282_OR10A4_2_B","FT282_B1_OCCR_1_A","FT282_B1_OCCR_1_B","FT282_B1_OCCR_2_A","FT282_B1_OCCR_2_B","FT282_B2_BCCR_1_A","FT282_B2_BCCR_1_B","FT282_B2_OCCR_1_A","FT282_B2_OCCR_1_B","FT282_B2_OCCR_2_A","FT282_B2_OCCR_2_B","MCF10A_B1_BCCR_1_A","MCF10A_B1_BCCR_1_B","MCF10A_.B2_BCCR_1_A","MCF10A_.B2_BCCR_1_B","MCF10A_.B2_BCCR_2_A","MCF10A_.B2_BCCR_2_B","MCF10A_OR10A4_1_A","MCF10A_OR10A4_1_B","MCF10A_OR10A4_2_A","MCF10A_OR10A4_2_B","MCF10A_B1_OCCR_1_A","MCF10A_B1_OCCR_1_B","MCF10A_B1_OCCR_2_A","MCF10A_B1_OCCR_2_B"
"TSPAN6",1020,791,570,527,448,463,366,503,850,1265,606,784,771,521,1289,1093,1328,1312,1109,1155,1248,1235,1312,1368,1564,1103,1163,1175
"TNMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DPM1",1058,968,986,923,553,601,526,832,818,1304,809,1101,1108,852,3061,2602,2147,2349,1840,2023,2780,2622,2626,2608,2221,1817,1476,1709
"SCYL3",216,230,250,225,242,224,151,198,202,300,229,308,216,143,759,614,874,840,832,803,841,842,651,659,1028,910,566,676
"C1orf112",283,244,315,269,81,121,220,277,240,332,197,304,501,334,808,594,396,405,338,362,707,631,717,813,416,376,506,654
"FGR",0,1,1,2,0,0,0,2,0,0,0,3,0,0,0,2,36,18,191,158,40,40,16,20,165,238,43,23
"CFH",5174,4973,5830,4607,3082,3382,3571,5318,2740,4070,15419,22287,7087,4904,7793,6028,7696,7603,6128,6649,8353,7660,4919,4854,8561,7180,3325,3451
"FUCA2",1846,1744,1662,1392,1026,1026,1212,1585,1573,2082,1144,1396,1394,1081,5665,4470,6218,6040,3321,3124,2921,2791,4011,4300,2212,2047,3145,4037
"GCLC",568,471,690,642,442,441,464,639,665,867,590,808,690,520,7774,5673,10793,10027,10222,9698,4558,4816,3939,3944,9965,10008,9148,10113
"NFYA",1200,1224,1604,1306,1110,1267,905,1131,1172,1620,1465,1932,1504,1327,1880,1373,1288,1196,1593,1486,1541,1711,1712,1661,1337,1447,1417,1805
"STPG1",289,329,481,373,274,289,259,263,328,430,312,382,348,361,1013,832,1795,1715,876,895,636,631,764,906,474,574,811,1050
"NIPAL3",1794,1775,4380,3786,3113,3198,1807,2153,3539,4579,2195,2848,2314,1810,7502,6123,8449,7963,6119,5772,3280,3200,4054,4430,2677,2825,4266,5392
"LAS1L",1116,1090,1575,1337,904,998,1112,1269,1023,1546,1029,1447,1476,1328,2222,1616,2080,1952,1543,1575,1940,2224,1903,1896,1678,1618,1502,2017
